Cohort,City,Grade Type,Fellow ID Number,There is a person(s) at Teach For India that shares timely feedback with me on my classroom's progress,My PM consistently shares helpful and timely feedback on my development as a teacher and leader with me,My PM helps me identify opportunities within and beyond TFI that will aid my development as a leader,My PM is an effective mentor to me,"City wide events like the City Conferences, Learning Communities, and workshops aid my development by exposing me to the larger Movement for educational equity","I have access to helpful and timely support, resources and networks via Teach For India to find a suitable post-Fellowship opportunity",There is a sufficient ecosystem for consistent and timely support in my city that I can access for challenges I face while working with the community in which my placement school is located,There is a sufficient ecosystem for consistent and timely support in my city that I can access for the challenges I face while working in my placement school,I find the Career options available to me post Fellowship exciting,"I am growing the capabilities I need (e.g., knowledge, skills, mindsets, values, perspectives, relationships) to play a valuable role in the movement to ensure that all children in this nation have the opportunity to attain an excellent education.",Teach For India has a role to play in ensuring that all children in India attain an excellent education,I believe it is possible for all children in India to attain an excellent education,"I feel comfortable in approaching Senior Management with any concerns, questions or ideas that I have",I am aware of city level and Org level happenings at Teach For India,There is a person(s) I am close to and can draw support from at Teach For India,"I have seen evidence that at Teach For India, everyone works collectively, committing to do what it takes, to provide a quality education to students","I feel my work, when worthy, is aptly recognised and praised at Teach For India",I believe that my colleagues and staff at Teach For India conduct themselves with appropriate levels of professionalism,"In my experience, my views are taken into account and acted upon at Teach for India",I believe there exist apt channels and platforms at Teach for India for me to share feedback/concerns,I feel safe working in my placement school,I feel safe in the community in which in my placement school is located,I feel part of a larger movement that is working to ensure that all children in India attain an excellent education,I believe I have a role to play in ensuring all children attain an excellent education,I have a growing understanding of why all children in India today do not attain an excellent education,I find purpose and meaning in the work I do,I believe that I am effectively contributing to ensuring that all children have the opportunity to attain an excellent education,"Compared to my expectations when I applied, my actual Fellowship experience till date has:"
2017,Delhi,Secondary,1001011,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Disagree,na,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Bengaluru,Secondary,1001012,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,na,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001013,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Elementary,1001014,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,na,Agree,Agree,Disagree,na,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2018,Mumbai,Secondary,1001015,Agree,Agree,Agree,Agree,Agree,na,Disagree,Disagree,na,Agree,Agree,Agree,na,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Bengaluru,Elementary,1001016,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Chennai,Secondary,1001017,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,na,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Mumbai,Secondary,1001018,Agree,Strongly Agree,Disagree,Agree,Disagree,na,Agree,Disagree,na,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001019,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Mumbai,Elementary,1001020,Disagree,Disagree,Agree,Agree,Agree,na,Disagree,Disagree,na,Agree,Strongly Agree,Strongly Agree,na,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Delhi,Secondary,1001021,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,na,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Not lived up to my expectations
2017,Bengaluru,Elementary,1001022,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001023,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Hyderabad,Secondary,1001024,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Somewhat fulfilled my expectations
2018,Bengaluru,Elementary,1001025,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,na,Agree,Agree,Strongly Agree,na,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Hyderabad,Secondary,1001026,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001027,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Exceeded my expectations
2018,Pune,Secondary,1001028,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,na,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Not lived up to my expectations
2018,Delhi,Elementary,1001029,Agree,Agree,Disagree,Disagree,Disagree,na,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,na,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Not lived up to my expectations
2017,Hyderabad,Secondary,1001030,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Bengaluru,Elementary,1001031,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001032,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Ahmedabad,Secondary,1001033,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Not lived up to my expectations
2018,Delhi,Secondary,1001034,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,na,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Chennai,Elementary,1001035,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Mumbai,Secondary,1001036,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Delhi,Secondary,1001037,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2018,Mumbai,Secondary,1001038,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2018,Ahmedabad,Elementary,1001039,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,na,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Mumbai,Elementary,1001040,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Delhi,Secondary,1001041,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Mumbai,Secondary,1001042,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Mumbai,Elementary,1001043,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Mumbai,Elementary,1001044,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Not lived up to my expectations
2018,Mumbai,Secondary,1001045,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Disagree,na,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Delhi,Secondary,1001046,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001047,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Mumbai,Elementary,1001048,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Chennai,Elementary,1001049,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,na,Agree,Agree,na,Strongly Agree,Strongly Agree,Strongly Agree,na,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001050,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001051,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Pune,Secondary,1001052,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Delhi,Secondary,1001053,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,na,Agree,Agree,Agree,na,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Bengaluru,Secondary,1001054,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,na,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Not lived up to my expectations
2018,Bengaluru,Elementary,1001055,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,na,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001056,Agree,Agree,Agree,Strongly Agree,Agree,na,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,na,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Pune,Elementary,1001057,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001058,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001059,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,na,Agree,Disagree,na,Agree,Strongly Agree,Strongly Agree,na,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001060,Disagree,Agree,Disagree,Agree,Disagree,na,Disagree,Disagree,na,Agree,Disagree,Agree,na,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001061,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Bengaluru,Secondary,1001062,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001063,Agree,Agree,Agree,Agree,na,na,Agree,Agree,na,Agree,Strongly Agree,Agree,na,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Chennai,Elementary,1001064,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001065,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,na,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001066,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Not lived up to my expectations
2017,Mumbai,Secondary,1001067,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,na,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Not lived up to my expectations
2018,Delhi,Elementary,1001068,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Hyderabad,Secondary,1001069,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,na,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001070,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Exceeded my expectations
2017,Delhi,Secondary,1001071,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
